다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 전체
,기간 : 1996 ~ 2023  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 1996-01,-0.9,4.8,-5.7,31.0
 1996-02,-0.7,5.3,-5.9,13.8
 1996-03,4.6,10.0,-0.3,123.0
 1996-04,10.0,16.2,3.9,58.0
 1996-05,16.8,23.3,10.8,45.8
 1996-06,20.8,25.1,17.4,296.4
 1996-07,23.9,28.5,20.3,211.3
 1996-08,25.2,30.1,21.3,124.0
 1996-09,20.4,26.8,15.4,28.4
 1996-10,14.2,20.8,8.8,66.0
 1996-11,7.4,12.6,2.7,68.9
 1996-12,1.9,8.3,-3.3,29.3
 1997-01,-1.4,4.3,-6.5,16.5
 1997-02,1.4,7.8,-4.4,29.8
 1997-03,6.7,13.0,1.1,45.8
 1997-04,12.2,18.5,6.2,76.2
 1997-05,16.9,22.5,11.8,189.2
 1997-06,21.7,27.4,16.7,183.9
 1997-07,24.5,29.0,21.0,306.6
 1997-08,25.1,29.9,21.4,223.9
 1997-09,19.5,25.4,14.8,63.0
 1997-10,13.6,20.4,7.3,11.9
 1997-11,9.0,14.8,4.1,160.7
 1997-12,2.6,7.7,-1.8,58.6
 1998-01,-0.1,4.6,-4.4,48.2
 1998-02,3.5,9.1,-1.4,49.3
 1998-03,7.3,13.4,1.7,51.3
 1998-04,14.7,20.3,10.0,152.3
 1998-05,17.8,23.5,12.5,109.2
 1998-06,20.0,24.2,16.3,270.2
 1998-07,24.1,27.7,21.2,271.8
 1998-08,24.8,28.8,21.7,450.2
 1998-09,21.7,27.1,17.4,248.3
 1998-10,16.3,22.0,11.7,67.6
 1998-11,7.9,14.1,2.6,31.8
 1998-12,3.0,9.1,-2.0,7.6
 1999-01,0.4,6.0,-4.5,22.7
 1999-02,1.7,7.1,-3.4,20.1
 1999-03,6.4,12.2,0.9,94.0
 1999-04,12.6,18.9,6.7,95.2
 1999-05,16.8,22.8,11.0,135.4
 1999-06,21.4,26.7,16.7,167.4
 1999-07,23.6,27.7,20.4,303.5
 1999-08,24.3,28.5,21.0,376.9
 1999-09,22.1,26.7,18.6,349.3
 1999-10,14.0,19.9,9.2,111.5
 1999-11,7.9,13.9,3.0,25.4
 1999-12,1.4,6.9,-3.4,11.2
 2000-01,-0.1,4.4,-4.2,40.9
 2000-02,-0.4,5.0,-5.5,5.6
 2000-03,6.1,12.6,0.1,24.4
 2000-04,11.4,17.8,5.3,40.0
